algoritmo,#palabras,#caracteres_entrada,#caracteres_salida,T-E1,T-E2,T-E3,T-E4,T_Total
RC4,10,70,70,0.00014638900756835938,3.075599670410156e-05,0.0001761913299560547,3.0517578125e-05,0.0003838539123535156
RC4,100,754,754,0.0024330615997314453,2.6702880859375e-05,0.00011587142944335938,2.6464462280273438e-05,0.002602100372314453
RC4,1000,7512,7512,0.00010466575622558594,1.9311904907226562e-05,8.797645568847656e-05,4.0531158447265625e-05,0.0002524852752685547
RC4,10000,74568,74568,0.00013256072998046875,1.6450881958007812e-05,0.00031638145446777344,0.00023126602172851562,0.0006966590881347656
RC4,100000,748950,748950,0.0016584396362304688,2.765655517578125e-05,0.002866983413696289,0.002065420150756836,0.006618499755859375
RC4,1000000,7499596,7499596,0.01259613037109375,4.863739013671875e-05,0.03254103660583496,0.02708148956298828,0.07226729393005371
RC4,10000000,74997531,74997531,0.27259397506713867,0.0005059242248535156,0.3351454734802246,0.3406031131744385,0.9488484859466553
DH_AES,10,70,80,0.012484073638916016,1.2430098056793213,0.0063953399658203125,0.004464149475097656,1.2663533687591553
DH_AES,100,754,768,0.00011801719665527344,0.5045335292816162,0.00010824203491210938,5.5789947509765625e-05,0.5048155784606934
DH_AES,1000,7512,7520,9.250640869140625e-05,3.772003650665283,0.0001163482666015625,3.743171691894531e-05,3.772249937057495
DH_AES,10000,74568,74576,0.0007872581481933594,0.5291330814361572,0.00045228004455566406,0.00023674964904785156,0.5306093692779541
DH_AES,100000,748950,748960,0.0013275146484375,1.3754651546478271,0.002752542495727539,0.0015263557434082031,1.3810715675354004
DH_AES,1000000,7499596,7499600,0.012924909591674805,2.0849757194519043,0.0221707820892334,0.014052391052246094,2.1341238021850586
DH_AES,10000000,74997531,74997536,0.17145252227783203,1.3743956089019775,0.27283740043640137,0.2906620502471924,2.1093475818634033
SHA-512,10,70,128,0.010382890701293945,0.0,5.841255187988281e-05,0.0,0.010441303253173828
SHA-512,100,754,128,0.0001354217529296875,0.0,3.600120544433594e-05,0.0,0.00017142295837402344
SHA-512,1000,7512,128,0.00010180473327636719,0.0,5.5789947509765625e-05,0.0,0.0001575946807861328
SHA-512,10000,74568,128,0.00015282630920410156,0.0,0.0002906322479248047,0.0,0.00044345855712890625
SHA-512,100000,748950,128,0.0017476081848144531,0.0,0.002379894256591797,0.0,0.00412750244140625
SHA-512,1000000,7499596,128,0.01734328269958496,0.0,0.02290964126586914,0.0,0.0402529239654541
SHA-512,10000000,74997531,128,0.23250770568847656,0.0,0.2634704113006592,0.0,0.49597811698913574
